Datetime,BTN A - Wh,BTN B - Wh,BTN C - Wh
01/01/2025 00:00,21.5438,29.223,36.4808
01/01/2025 00:15,21.112,28.5089,35.281
01/01/2025 00:30,20.6753,27.7789,34.0924
01/01/2025 00:45,20.2928,27.1052,32.8345
01/01/2025 01:00,19.9337,26.4467,31.6134
01/01/2025 01:15,19.5989,25.9251,30.3847
01/01/2025 01:30,19.2518,25.4634,29.2652
01/01/2025 01:45,18.9364,25.0116,28.1969
01/01/2025 02:00,18.6653,24.4619,27.204
01/01/2025 02:15,18.4112,23.8799,26.2251
01/01/2025 02:30,18.1687,23.3951,25.3231
01/01/2025 02:45,17.9739,22.9752,24.5064
01/01/2025 03:00,17.8668,22.6092,23.834
01/01/2025 03:15,17.7521,22.2634,23.2107
01/01/2025 03:30,17.66,22.0091,22.6932
01/01/2025 03:45,17.5583,21.7772,22.207
01/01/2025 04:00,17.5359,21.5763,21.7811
01/01/2025 04:15,17.5633,21.4153,21.3985
01/01/2025 04:30,17.6159,21.3309,21.1801
01/01/2025 04:45,17.6777,21.3508,20.9992
01/01/2025 05:00,17.7312,21.3271,20.8934
01/01/2025 05:15,17.7588,21.3291,20.7542
01/01/2025 05:30,17.7927,21.3023,20.655
01/01/2025 05:45,17.9023,21.428,20.6213
01/01/2025 06:00,18.0447,21.5089,20.5706
01/01/2025 06:15,18.2374,21.6332,20.5923
01/01/2025 06:30,18.4286,21.6708,20.6151
01/01/2025 06:45,18.7409,21.844,20.8381
01/01/2025 07:00,19.0962,22.1561,21.2186
01/01/2025 07:15,19.4293,22.495,21.754
01/01/2025 07:30,19.712,22.889,22.3215
01/01/2025 07:45,20.0209,23.2487,23.022
01/01/2025 08:00,20.3633,23.7895,23.9457
01/01/2025 08:15,20.7414,24.4236,25.1962
01/01/2025 08:30,21.1589,25.2207,26.7105
01/01/2025 08:45,21.6768,26.1984,28.388
01/01/2025 09:00,22.2748,27.2637,30.2397
01/01/2025 09:15,22.921,28.3527,32.0679
01/01/2025 09:30,23.5576,29.4158,33.9037
01/01/2025 09:45,24.1792,30.4999,35.605
01/01/2025 10:00,24.7553,31.4076,37.269
01/01/2025 10:15,25.2676,32.1582,38.8598
01/01/2025 10:30,25.7535,32.8162,40.2803
01/01/2025 10:45,26.1751,33.6426,41.5399
01/01/2025 11:00,26.5656,34.3452,42.7754
01/01/2025 11:15,26.8853,34.8181,44.0974
01/01/2025 11:30,27.1542,35.1183,45.5057
01/01/2025 11:45,27.4196,35.3526,46.6591
01/01/2025 12:00,27.5963,35.6859,47.423
01/01/2025 12:15,27.6138,35.8231,47.7132
01/01/2025 12:30,27.4656,35.9182,47.4826
01/01/2025 12:45,27.2159,35.6985,46.7519
01/01/2025 13:00,26.9696,35.2723,45.4289
01/01/2025 13:15,26.675,34.6975,43.8583
01/01/2025 13:30,26.3677,34.0822,42.3361
01/01/2025 13:45,26.1257,33.5556,41.1544
01/01/2025 14:00,25.904,33.229,40.2444
01/01/2025 14:15,25.7227,33.0467,39.5169
01/01/2025 14:30,25.462,32.834,38.8725
01/01/2025 14:45,25.2255,32.4409,38.3531
01/01/2025 15:00,24.9371,32.0303,37.9634
01/01/2025 15:15,24.7026,31.7227,37.7207
01/01/2025 15:30,24.4793,31.6315,37.5612
01/01/2025 15:45,24.296,31.5862,37.6139
01/01/2025 16:00,24.1663,31.64,37.8553
01/01/2025 16:15,24.0667,31.6392,38.3022
01/01/2025 16:30,24.0801,31.7505,38.9829
01/01/2025 16:45,24.1989,32.0256,39.8905
01/01/2025 17:00,24.4818,32.4529,41.0822
01/01/2025 17:15,24.8812,32.9799,42.4402
01/01/2025 17:30,25.3367,33.4863,43.9955
01/01/2025 17:45,25.7616,34.103,45.8475
01/01/2025 18:00,26.061,34.6176,47.5567
01/01/2025 18:15,26.2476,35.1328,49.0463
01/01/2025 18:30,26.3613,35.6004,50.069
01/01/2025 18:45,26.5153,36.0328,51.1171
01/01/2025 19:00,26.6366,36.4176,52.056
01/01/2025 19:15,26.6939,36.5312,52.8505
01/01/2025 19:30,26.668,36.7562,53.289
01/01/2025 19:45,26.5679,36.9192,53.5784
01/01/2025 20:00,26.4607,37.0576,53.6689
01/01/2025 20:15,26.3433,36.8827,53.5067
01/01/2025 20:30,26.1682,36.5933,53.0328
01/01/2025 20:45,25.9188,36.302,52.4114
01/01/2025 21:00,25.6216,36.0395,51.6475
01/01/2025 21:15,25.3015,35.6208,50.8148
01/01/2025 21:30,24.9358,35.071,49.7642
01/01/2025 21:45,24.5121,34.5932,48.6172
01/01/2025 22:00,24.1146,34.1332,47.3218
01/01/2025 22:15,23.7323,33.5474,45.9129
01/01/2025 22:30,23.3001,32.6328,44.4479
